4 288
2.277	7.840	400	175	0	1000	6
32.883	-1.779	400	175	0	1000	6
-49.554	-17.828	400	175	0	1000	6
3.690	-26.099	400	175	0	1000	6
-66.174	-37.811	13	19	94	327
2.673	-35.223	16	21	206	531
38.751	8.618	1	17	294	651
62.653	20.667	9	6	261	563
60.974	-6.110	20	6	85	406
-98.535	-39.532	2	19	87	309
8.411	-81.274	5	17	104	439
-14.569	26.056	10	19	226	449
-34.186	-76.697	10	2	270	551
55.145	-33.911	25	3	268	599
15.869	8.716	2	24	127	351
-63.416	-20.282	5	5	139	340
-9.357	-42.212	16	9	126	481
-53.619	3.729	24	20	192	453
53.491	-3.308	7	19	155	467
-22.614	-32.794	19	20	195	379
39.612	-1.550	15	4	151	403
16.705	-22.748	7	3	298	578
-51.245	-13.757	16	2	272	490
-29.907	14.380	20	23	221	529
-70.441	-27.911	21	6	196	544
-75.385	-30.811	7	17	219	411
10.590	-28.931	17	17	73	332
86.340	-45.935	11	3	82	303
3.864	34.583	6	16	282	630
-37.598	-42.114	4	15	195	550
69.440	1.379	16	23	128	405
-13.818	1.245	8	15	186	537
-27.124	-38.037	13	12	72	335
-69.348	-14.734	25	19	178	512
58.575	29.346	16	23	180	433
58.105	31.702	2	10	144	430
-62.250	-16.425	12	23	113	400
-66.382	13.586	12	22	226	465
68.030	-12.482	14	4	66	411
-30.701	-41.681	16	5	173	357
-55.389	-51.050	9	1	283	573
36.237	-2.655	16	11	261	489
-1.215	5.591	2	20	254	446
10.278	-23.950	21	25	179	538
-7.159	36.859	7	18	253	440
-90.204	61.169	3	4	165	524
46.368	65.082	5	10	72	425
13.348	31.372	12	17	142	452
-73.566	-28.839	9	7	277	564
-41.528	-37.097	11	4	203	439
-60.938	-27.246	17	3	97	402
38.312	54.376	10	12	96	340
26.306	11.975	5	13	155	513
10.297	-48.346	3	24	96	340
52.417	-28.363	1	16	85	280
-43.756	-39.343	3	2	212	448
49.316	11.395	5	7	197	488
45.593	4.346	25	15	101	359
-25.989	-15.814	14	12	104	337
65.253	-59.631	4	15	243	511
12.109	-34.387	14	17	129	329
12.390	-16.254	20	16	267	563
0.525	69.611	5	1	81	325
-8.679	7.770	22	9	264	512
41.467	-35.016	17	4	243	563
11.859	-34.973	19	3	256	508
-1.306	-58.063	9	1	155	423
6.024	-31.018	16	4	298	478
1.788	-32.544	19	6	234	577
29.272	-6.494	11	1	218	552
23.950	10.742	6	19	164	417
-65.887	40.912	23	1	276	592
-10.095	26.257	24	2	291	642
58.093	67.352	21	25	69	277
90.015	9.485	16	4	181	429
-6.622	15.216	15	4	81	286
-2.875	-42.841	23	13	121	406
-37.714	-7.306	22	18	71	361
44.171	-11.224	21	9	178	408
-58.704	-2.808	21	5	170	410
-3.912	10.071	21	12	215	509
-41.370	-1.495	7	22	288	594
58.179	27.563	15	9	261	516
-63.861	26.147	15	11	119	422
-56.793	-15.918	16	6	90	434
22.217	-27.509	13	19	143	325
-1.031	-14.838	22	10	277	513
-57.703	-10.480	1	1	144	324
80.847	6.299	22	10	221	554
2.887	10.822	24	20	219	575
-37.390	-7.800	6	18	226	459
-33.600	-26.740	5	1	63	391
95.197	24.231	14	11	218	419
-13.904	29.327	19	20	72	352
-53.461	9.296	16	12	291	473
67.578	13.007	20	17	281	545
-83.881	-53.265	12	16	218	399
30.255	-72.430	7	3	214	527
-22.333	-20.538	23	14	230	555
3.741	-35.461	9	12	211	395
-20.093	-43.982	19	9	207	524
-47.687	-21.100	17	1	108	463
-20.447	-13.849	1	7	62	411
34.515	3.967	25	7	159	370
20.514	-11.884	12	5	145	462
-46.039	-22.565	15	9	85	341
